Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"switch","switch",30,10.00,"https://stackskb.com/store/ttc-low-profile-brown-switches-tactile/","stacks"
"rpi pico","mcu",1,7.00,"https://www.google.com/search?client=firefox-b-d&q=rpi+pico+robu","robu"
"pcb ","pcb",1,30.00,"https://www.lioncircuits.com/quote","lion pcb"
